               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033516,            0.029676,            0.006739,             0.80079,             0.71429,             0.77665,             0.47636,             0.03988,            0.023856,            0.010098,           0.0082675,           0.0082675,           0.0082675
                  37,            0.033544,            0.029457,            0.006789,             0.78696,             0.71916,             0.76639,             0.46077,            0.040684,            0.024701,            0.010186,            0.008218,            0.008218,            0.008218
                  38,            0.033264,            0.029143,           0.0064638,             0.83222,             0.68725,             0.77486,             0.47491,            0.040377,            0.024986,           0.0096017,           0.0081685,           0.0081685,           0.0081685
                  39,            0.032719,            0.028798,           0.0065558,             0.80954,             0.70826,             0.77581,             0.47875,              0.0397,            0.024007,           0.0095214,            0.008119,            0.008119,            0.008119
                  40,            0.032392,            0.028586,           0.0062368,              0.8262,             0.70075,             0.77857,             0.48021,            0.040002,            0.024718,           0.0090746,           0.0080695,           0.0080695,           0.0080695
                  41,              0.0322,            0.028385,           0.0065489,             0.81037,             0.69947,             0.77687,             0.47853,            0.039947,            0.024418,           0.0093397,             0.00802,             0.00802,             0.00802
                  42,            0.032253,             0.02861,           0.0063725,             0.81833,             0.71292,             0.77372,             0.48192,            0.040435,            0.024378,           0.0097018,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032184,            0.028604,           0.0061449,             0.80969,             0.68974,             0.76597,             0.47154,            0.040374,            0.025164,            0.010083,            0.007921,            0.007921,            0.007921
                  44,            0.031776,            0.028072,           0.0062826,             0.81043,             0.72668,              0.7782,             0.48127,            0.040466,            0.024388,             0.01013,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031787,             0.02835,           0.0061677,             0.82395,             0.71056,             0.78071,             0.48929,            0.039804,            0.024258,            0.010086,            0.007822,            0.007822,            0.007822
                  46,            0.031333,            0.028241,           0.0059485,              0.8093,             0.71683,             0.77356,             0.47651,            0.040104,            0.024932,           0.0097695,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031276,            0.027724,           0.0060433,             0.81172,             0.69358,             0.76806,             0.47942,            0.040458,            0.025142,             0.01036,            0.007723,            0.007723,            0.007723
                  48,            0.031128,            0.027298,           0.0059786,             0.82967,             0.69312,             0.76722,             0.47824,            0.040408,            0.024729,            0.010166,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030837,            0.027223,            0.005772,             0.81186,             0.71853,             0.77682,             0.47975,            0.039909,            0.025275,           0.0095448,            0.007624,            0.007624,            0.007624
                  50,            0.030554,            0.027109,           0.0059389,             0.82412,             0.70625,             0.76663,             0.48219,            0.039731,            0.025201,            0.010034,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030402,            0.026777,           0.0057181,             0.83579,              0.6913,             0.77184,             0.48274,            0.039847,            0.025816,           0.0094836,            0.007525,            0.007525,            0.007525
                  52,            0.030178,            0.027008,           0.0056082,             0.81597,             0.70605,             0.77703,             0.48382,            0.040058,            0.025215,           0.0096937,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030096,            0.026673,           0.0058292,             0.82694,             0.70537,             0.78369,             0.48921,            0.040086,            0.025218,           0.0090893,            0.007426,            0.007426,            0.007426
                  54,            0.029894,            0.026652,           0.0056118,             0.81841,             0.71275,             0.77443,             0.48764,            0.039779,            0.025262,           0.0087831,           0.0073765,           0.0073765,           0.0073765
                  55,            0.029777,            0.026424,           0.0054775,             0.81463,             0.70035,             0.77228,             0.47918,             0.03985,            0.025487,           0.0096922,            0.007327,            0.007327,            0.007327
                  56,            0.029794,            0.026812,           0.0055119,             0.83816,             0.70693,             0.76818,             0.48184,            0.039998,             0.02552,           0.0099885,           0.0072775,           0.0072775,           0.0072775
                  57,            0.029291,             0.02623,           0.0054132,             0.84108,             0.69554,             0.77778,             0.48838,            0.039621,            0.025908,           0.0099316,            0.007228,            0.007228,            0.007228
                  58,            0.029277,            0.026345,           0.0056835,             0.83505,             0.69474,             0.77173,             0.48987,            0.040333,            0.025628,           0.0097283,           0.0071785,           0.0071785,           0.0071785
